date,temp,hum,percp,wspeed,pm10
2023-03-04 04:00:00,-0.6,95.0,0.0,5.2,21.0
2023-03-04 05:00:00,-1.1,95.0,0.0,5.8,30.0
2023-03-04 06:00:00,-1.5,95.0,0.0,6.9,31.0
2023-03-04 07:00:00,0.6,93.0,0.0,7.2,39.0
2023-03-04 08:00:00,5.0,81.0,0.0,5.9,46.0
2023-03-04 09:00:00,7.9,69.0,0.0,5.9,56.0
2023-03-04 10:00:00,10.0,57.0,0.0,8.2,40.0
2023-03-04 11:00:00,11.3,50.0,0.0,8.2,31.0
2023-03-04 12:00:00,12.1,47.0,0.0,7.9,28.0
2023-03-04 13:00:00,12.6,45.0,0.0,7.4,28.0
2023-03-04 14:00:00,12.7,44.0,0.0,7.0,25.0
2023-03-04 15:00:00,12.6,44.0,0.0,6.8,24.0
2023-03-04 16:00:00,11.7,52.0,0.0,8.4,34.0
2023-03-04 17:00:00,10.1,57.0,0.0,10.1,47.0
2023-03-04 18:00:00,9.2,55.0,0.0,8.5,40.0
2023-03-04 19:00:00,5.5,75.0,0.0,6.7,28.0
2023-03-04 20:00:00,4.0,79.0,0.0,5.1,27.0
2023-03-04 21:00:00,3.1,81.0,0.0,8.3,32.0
2023-03-04 22:00:00,2.4,83.0,0.0,9.2,33.0
2023-03-04 23:00:00,1.8,84.0,0.0,8.7,24.0
2023-03-05 00:00:00,1.5,83.0,0.0,6.3,22.0
2023-03-05 01:00:00,1.7,82.0,0.0,3.5,22.0
2023-03-05 02:00:00,1.3,84.0,0.0,1.5,22.0
